,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,LINK-USD,0.12937567417650575,13.0
1,ICP-USD,ENJ-USD,13.846716540949227,7.0
2,ICP-USD,ZRX-USD,19.779811516836794,10.0
3,ETC-USD,ALGO-USD,166.02059338054403,22.0
4,LINK-USD,UMA-USD,3.9528915029822254,17.0
5,LINK-USD,1INCH-USD,19.95276670889505,10.0
6,ATOM-USD,UMA-USD,5.8620763402396,6.0
7,BCH-USD,ZRX-USD,1311.9079332066096,23.0
8,BCH-USD,TRX-USD,3575.6328686134048,20.0
9,BCH-USD,ALGO-USD,2376.254547521551,18.0
10,BCH-USD,XMR-USD,1.6747090866881371,11.0
11,BCH-USD,SUSHI-USD,416.60608723825425,19.0
12,BCH-USD,BTC-USD,0.009096213630526255,14.0
13,BCH-USD,DOT-USD,52.99639476857196,20.0
14,ENJ-USD,ZRX-USD,1.428572518291356,4.0
15,ENJ-USD,UMA-USD,0.18779522055231965,6.0
16,ENJ-USD,DOT-USD,0.05768285732132344,8.0
17,ENJ-USD,DOGE-USD,4.531970727439971,9.0
18,ZRX-USD,DOT-USD,0.0403654821458719,10.0
19,ZRX-USD,DOGE-USD,3.1717096872964605,8.0
20,ZRX-USD,UNI-USD,0.03906827749486466,11.0
21,ZRX-USD,1INCH-USD,0.663241182712682,10.0
22,ZRX-USD,ETH-USD,0.00011108163020573325,10.0
23,COMP-USD,MATIC-USD,86.07716724266136,12.0
24,EOS-USD,NEAR-USD,0.5331081547766319,9.0
25,EOS-USD,UMA-USD,0.4596985793327931,5.0
26,EOS-USD,DOT-USD,0.1412042831753175,6.0
27,EOS-USD,DOGE-USD,11.094549372826878,6.0
28,EOS-USD,UNI-USD,0.1366567425123305,11.0
29,EOS-USD,1INCH-USD,2.3198802886632754,9.0
30,EOS-USD,ETH-USD,0.0003885578486951642,8.0
31,ALGO-USD,LTC-USD,0.0011634841589773552,20.0
32,UMA-USD,DOT-USD,0.30712138085821106,5.0
33,UMA-USD,DOGE-USD,24.130028246761487,6.0
34,UMA-USD,UNI-USD,0.2971947668749664,14.0
35,UMA-USD,1INCH-USD,5.045710598547663,9.0
36,UMA-USD,ETH-USD,0.0008451951929877824,5.0
37,BTC-USD,CRV-USD,38952.92525037831,23.0
38,DOT-USD,UNI-USD,0.9676954732469668,15.0
39,DOT-USD,1INCH-USD,16.428911175457216,8.0
40,DOT-USD,ETH-USD,0.0027516701433257847,10.0
41,DOGE-USD,UNI-USD,0.012315534131646154,12.0
42,DOGE-USD,1INCH-USD,0.20906569312846926,10.0
43,DOGE-USD,ETH-USD,3.501977182514254e-05,10.0
