,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XLM-USD,20.415752916808152,23.0
1,ICP-USD,ETC-USD,0.21748664978138338,12.0
2,ETC-USD,ATOM-USD,2.030585490572339,16.0
3,ETC-USD,RUNE-USD,18.72615962912887,7.0
4,ETC-USD,FIL-USD,4.354840955953276,13.0
5,ETC-USD,UMA-USD,11.902984506207126,10.0
6,ETC-USD,BTC-USD,0.0006308266687790127,17.0
7,ETC-USD,DOT-USD,3.645391862670228,15.0
8,ETC-USD,ETH-USD,0.010075014425379199,16.0
9,ZEC-USD,CELO-USD,59.1532562036126,15.0
10,ZEC-USD,ENJ-USD,101.22317879755498,16.0
11,ZEC-USD,FIL-USD,7.010566856776538,17.0
12,LINK-USD,EOS-USD,8.695582593107568,16.0
13,LINK-USD,NEAR-USD,4.6223984100034,12.0
14,LINK-USD,UNI-USD,1.1719250249622366,10.0
15,MKR-USD,ATOM-USD,98.84757614707938,16.0
16,MKR-USD,ALGO-USD,8075.033214799618,15.0
17,MKR-USD,XMR-USD,5.65229820989404,10.0
18,ATOM-USD,RUNE-USD,9.21948626478027,11.0
19,ATOM-USD,UMA-USD,5.861174994785405,6.0
20,CELO-USD,ALGO-USD,4.508984039947771,11.0
21,ENJ-USD,ZRX-USD,1.4296498285756298,4.0
22,ENJ-USD,DOT-USD,0.05796818174045687,11.0
23,ENJ-USD,DOGE-USD,4.530549690636173,10.0
24,RUNE-USD,FIL-USD,0.23258088554192455,9.0
25,FIL-USD,ZRX-USD,20.61675115097627,12.0
26,FIL-USD,TRX-USD,56.218620350738206,22.0
27,FIL-USD,EOS-USD,5.910266706845254,18.0
28,FIL-USD,ALGO-USD,38.054348318349135,16.0
29,FIL-USD,XMR-USD,0.026622786979879215,14.0
30,FIL-USD,UMA-USD,2.73086848986103,11.0
31,FIL-USD,BTC-USD,0.0001447116326331897,14.0
32,FIL-USD,DOT-USD,0.8362266840729166,15.0
33,FIL-USD,DOGE-USD,65.34022238609113,20.0
34,FIL-USD,LTC-USD,0.04448819285212519,19.0
35,FIL-USD,AAVE-USD,0.058846154532533036,18.0
36,FIL-USD,ETH-USD,0.002311318523915171,11.0
37,ZRX-USD,TRX-USD,2.7244115404836684,14.0
38,ZRX-USD,EOS-USD,0.28649865258707696,9.0
39,ZRX-USD,NEAR-USD,0.15225755570271665,12.0
40,ZRX-USD,ADA-USD,0.7107228349520207,20.0
41,ZRX-USD,UMA-USD,0.13232926008994883,9.0
42,ZRX-USD,DOT-USD,0.0405284881955677,9.0
43,ZRX-USD,DOGE-USD,3.1677770526340243,7.0
44,ZRX-USD,AAVE-USD,0.002852913186453488,8.0
45,ZRX-USD,UNI-USD,0.03860546956790099,12.0
46,ZRX-USD,ETH-USD,0.00011199928027836026,10.0
47,YFI-USD,EOS-USD,9373.451574155817,16.0
48,YFI-USD,XMR-USD,42.219037143601724,13.0
49,YFI-USD,UMA-USD,4330.262005091944,8.0
50,YFI-USD,BTC-USD,0.22950057265687665,9.0
51,YFI-USD,DOT-USD,1326.0056536026595,18.0
52,YFI-USD,CRV-USD,8797.328797995688,20.0
53,YFI-USD,DOGE-USD,103611.12512408377,22.0
54,YFI-USD,AAVE-USD,93.31445163632668,22.0
55,YFI-USD,ETH-USD,3.664968400314352,12.0
56,EOS-USD,NEAR-USD,0.5314112589774613,10.0
57,EOS-USD,UMA-USD,0.46178399896567424,8.0
58,EOS-USD,DOT-USD,0.14143674041614995,6.0
59,EOS-USD,DOGE-USD,11.053899069884666,7.0
60,NEAR-USD,DOGE-USD,20.792962344398813,10.0
61,ADA-USD,MATIC-USD,0.41099216633511876,18.0
62,UMA-USD,DOT-USD,0.3062208652087638,5.0
63,UMA-USD,AAVE-USD,0.02155062889919269,11.0
64,UMA-USD,ETH-USD,0.0008462932355463261,4.0
65,DOT-USD,ETH-USD,0.002763363386820297,7.0
66,DOGE-USD,UNI-USD,0.012185236163388855,15.0
